State Code,District Code,Sub-District Code,Sub-District Name (In English)
1,623,6810,Ajas
1,5,78,Akhnoor
1,623,6809,Aloosa
1,1,55,Anantnag
1,1,6822,Anantnag East (Mattan)
1,11,6795,Aripal
1,627,6740,Arnas
1,5,6717,Arnia
1,4,6752,Assar
1,620,71,Atholi (Paddar)
1,11,49,Awantipora
1,5,6707,Bahu
1,10,6778,Balakote
1,623,41,Bandipora
1,7,29,Bani
1,621,66,Banihal
1,3,35,Baramulla
1,625,6798,Barbugh Imam Sahib
1,624,6720,Bari Brahamana
1,14,6736,Basantgarh
1,7,28,Basohli
1,621,6761,Batote
1,2,5,Beerwah
1,12,6776,Beri Pattan
1,4,65,Bhaderwah
1,4,6747,Bhagwa
1,4,6753,Bhalessa (Gandoh)
1,4,6755,Bhalla
1,5,6709,Bhalwal
1,4,6746,Bharath Bagla
1,4,7203,Bhella
1,627,6744,Bhomag
1,1,54,Bijbehara
1,7,27,Billawar
1,5,81,Bishnah
1,2,6815,Bk Pora
1,3,38,Boniyar
1,2,7,Budgam
1,620,6770,Bunjwah
1,2,8,Chadoora
1,13,6802,Channapora/Natipora
1,2,9,Charar- E- Shrief
1,627,6738,Chassana
1,14,73,Chenani
1,620,70,Chhatroo
1,4,6754,Chilly Pingal
1,4,6758,Chiralla
1,625,6799,Chitragam
1,5,6703,Chowki Choura
1,620,6765,Dachhan
1,3,6827,Dangarpora
1,5,6712,Dansal
1,12,21,Darhal
1,622,60,Devsar
1,622,61,D H Pora
1,7,6726,Dinga Amb
1,4,62,Doda
1,3,6824,Dongiwacha
1,1,58,Dooru
1,620,6769,Drabshala
1,8,6786,Dragmulla
1,13,6803,Eidgah
1,622,6780,Frisal
1,626,47,Ganderbal
1,624,6721,Ghagwal
1,621,6763,Gool
1,626,6806,Gund
1,4,6749,Gundna
1,623,40,Gurez
1,623,6811,Hajin
1,8,2,Handwara
1,625,6800,Harmain
1,10,16,Haveli
1,7,31,Hiranagar
1,5,79,Jammu
1,5,6708,Jammu North
1,5,6706,Jammu South
1,5,6718,Jammu West
1,5,6701,Jourian
1,4,6756,Kahara
1,11,6793,Kakapora
1,12,24,Kalakote
1,626,46,Kangan
1,8,3,Karnah
1,4,6748,Kashtigarh
1,7,30,Kathua
1,627,6741,Katra
1,3,6829,Kawarhama
1,625,6092,Keegam
1,625,6091,Keller
1,8,6782,Keran
1,2,4,Khag
1,2,6,Khansahib
1,13,6801,Khanyar
1,5,6704,Kharah Balli
1,621,6759,Khari
1,12,6771,Khawas
1,3,6828,Khoie
1,5,6714,Khour
1,620,68,Kishtwar
1,1,57,Kokernag
1,12,6851,Koteranka
1,8,6783,Kralpora
1,3,36,Kreeri
1,622,59,Kulgam
1,3,6830,Kunzer
1,8,1,Kupwara
1,8,6792,Lalpora
1,8,6789,Langate
1,626,45,Lar
1,1,6820,Larnoo
1,12,6774,Laroka
1,14,6737,Latti
1,7,6729,Lohai Malhar
1,8,6791,Lolab (Sogam)
1,620,6767,Machail
1,8,6785,Machil
1,2,6814,Magam
1,7,6725,Mahanpur
1,627,6850,Mahore
1,5,6702,Maira Mandrian
1,14,75,Majalta
1,5,6713,Mandal
1,10,17,Mandi
1,12,6772,Manjakote
1,10,6779,Mankote
1,5,6715,Marh
1,7,6731,Marheen
1,4,6751,Marmat
1,620,69,Marwah
1,10,18,Mendhar
1,4,6750,Mohalla
1,14,6734,Moungri
1,620,6764,Mugal Maidan
1,7,6727,Nagri Parole
1,5,6711,Nagrota
1,620,6768,Nagseni
1,2,6813,Narbal
1,3,7202,Narwav
1,12,25,Nowshera
1,1,53,Pahalgam
1,622,6194,Pahloo
1,11,48,Pampore
1,14,6735,Panchari
1,13,6804,Pantha Chowk
1,5,6705,Pargwal
1,3,34,Pattan
1,4,6757,Phigsoo
1,621,6760,Pogal Paristan
1,627,6742,Pouni
1,11,51,Pulwama
1,8,7205,Qalamabad
1,8,6788,Qaziabad (Kralgund)
1,1,6817,Qazigund
1,12,6773,Qila Darhal
1,622,6193,Qoimoh
1,3,33,Rafiabad
1,621,6762,Rajgarh
1,12,22,Rajouri
1,11,6796,Rajpora
1,624,6719,Rajpura
1,621,67,Ramban
1,624,6724,Ramgarh
1,8,6787,Ramhal (Tarathpora)
1,7,6728,Ramkote
1,14,74,Ramnagar
1,621,7201,Ramsoo
1,627,77,Reasi
1,5,80,R. S. Pura
1,1,6818,Sallar
1,624,82,Samba
1,1,6816,Shahbad Bala
1,11,6794,Shahoora (Litter)
1,1,56,Shangus
1,625,52,Shopian
1,3,7204,Singhpora
1,12,6777,Siot
1,623,42,Sonawari
1,3,32,Sopore
1,1,6819,Srigufwara
1,13,6805,Srinagar Central
1,13,43,Srinagar North
1,13,44,Srinagar South
1,5,6716,Suchetgarh
1,12,26,Sunderbani
1,10,19,Surankote
1,3,39,Tangmarg
1,12,6775,Taryath
1,627,6745,Thakrakote
1,12,20,Thana Mandi
1,4,63,Thathri
1,627,6739,Thuroo
1,11,50,Tral
1,8,6784,Trehgam
1,623,6812,Tulail
1,626,6807,Tullamulla Khirbhawani
1,14,72,Udhampur
1,3,37,Uri
1,624,6722,Vijaypur
1,8,7206,Villgam
1,3,6823,Wagoora
1,626,6808,Wakoora
1,620,6766,Warwan
1,3,6825,Watergam
1,622,6781,Yaripora
1,8,6790,Zachaldara
1,625,6797,Zainapora
1,3,6826,Zaingeer
35,603,5916,Car Nicobar
35,632,5919,Diglipur
35,602,5922,Ferrargunj
35,603,5918,Great Nicobar
35,602,5924,Little Andaman
35,632,5920,Mayabunder
35,603,5917,Nancowry
35,602,5923,Port Blair
35,632,5921,Rangat
28,523,4981,Achanta
28,517,5112,Addanki
28,791,4887,Addateegala
28,511,5271,Adoni
28,511,7563,Adoni-2
28,754,5354,Agali
28,748,5005,Agiripalli
28,747,4933,Ainavilli
28,523,4975,Akividu
28,747,4925,Alamuru
28,755,5298,Allagadda
28,747,4940,Allavaram
28,515,5167,Allur
28,511,5274,Alur
28,754,5361,Amadagur
28,519,4798,Amadalavalasa
28,747,4941,Amalapuram
28,754,5351,Amarapuram
28,751,5052,Amaravathi
28,750,5086,Amarthalur
28,747,4935,Ambajipeta
28,744,4871,Anakapalli
28,520,4863,Anandapuram
28,502,5330,Anantapur Rural
28,502,7426,Anantapur Urban
28,745,4845,Ananthagiri
28,515,5173,Ananthasagaram
28,505,4917,Anaparthi
28,515,5165,Anumasamudrampeta
28,745,4844,Araku Valley
28,790,5116,Ardhaveedu
28,511,5275,Aspari
28,751,5050,Atchampet
28,744,4878,Atchuthapuram
28,749,4998,Atlapragada Konduru
28,504,5227,Atlur
28,502,5322,Atmakur
28,515,5164,Atmakur
28,755,5265,Atmakur
28,747,4919,Atreyapuram
28,523,4973,Attili
28,510,5037,Avanigadda
28,521,4820,Badangi
28,504,5210,Badvel
28,503,5423,Baireddipalle
28,752,5188,Balayapalli
28,743,4815,Balijipeta
28,517,5105,Ballikurava
28,755,5288,Banaganapalli
28,755,5283,Bandi Atmakur
28,503,5429,Bangarupalem
28,510,5019,Bantumilli
28,750,5093,Bapatla
28,510,5004,Bapulapadu
28,754,5337,Bathalapalli
28,753,5391,Beerongi Kothakota
28,751,5049,Bellamkonda
28,502,5318,Beluguppa
28,790,5131,Bestavaripeta
28,755,5279,Bethamcherla
28,743,4771,Bhamini
28,750,5089,Bhattiprolu
28,748,4963,Bheemadole
28,520,4865,Bheemunipatnam
28,523,4984,Bhimavaram
28,521,4840,Bhogapuram
28,505,4916,Biccavolu
28,504,5209,B.Kodur
28,521,4816,Bobbili
28,515,5159,Bogole
28,751,5061,Bollapalli
28,502,5307,Bommanahal
28,521,4829,Bondapalli
28,504,5205,Brahmamgarimattam
28,502,5320,Brahmasamudram
28,752,5380,Buchinaidu Kandriga
28,515,5170,Buchireddipalem
28,754,5345,Bukkapatnam
28,502,5329,Bukkaraya Samudram
28,519,4794,Burja
28,744,4873,Butchayyapeta
28,748,4948,Buttayagudem
28,511,5256,C.Belagal
28,755,5303,Chagalamarri
28,505,4959,Chagallu
28,504,5234,Chakrayapet
28,510,5035,Challapalli
28,749,5008,Chandarlapadu
28,752,5384,Chandragiri
28,790,5145,Chandra Sekhara Puram
28,504,5213,Chapad
28,748,5001,Chatrai
28,506,5079,Chebrolu
28,744,4858,Cheedikada
28,521,4827,Cheepurupalli
28,515,5172,Chejerla
28,754,5347,Chennekothapalli
28,504,5226,Chennur
28,750,5090,Cherukupalli
28,751,5070,Chilakaluripet H/O.Purushotha Patnam
28,754,5366,Chilamathur
28,515,5190,Chillakur
28,517,5128,Chimakurthy
28,750,5125,Chinaganjam
28,752,5385,Chinnagottigallu
28,753,5236,Chinnamandem
28,748,4944,Chintalapudi
28,504,5231,Chinthakommadinne
28,745,4849,Chinthapalli
28,791,4732,Chinturu
28,511,5291,Chippagiri
28,750,5123,Chirala
28,752,5193,Chittamur
28,503,5421,Chittoor Rural
28,503,7427,Chittoor Urban
28,752,5245,Chitvel
28,744,4872,Chodavaram
28,753,5413,Chowdepalle
28,790,5117,Cumbum
28,751,5045,Dachepalli
28,515,5166,Dagadarthi
28,752,5186,Dakkili
28,517,5114,Darsi
28,521,4823,Dattirajeru
28,748,4967,Denduluru
28,521,4839,Denkada
28,511,5276,Devanakonda
28,505,4957,Devarapalle
28,744,4859,Devarapalli
28,791,4885,Devipatnam
28,754,5336,Dharmavaram
28,502,5304,D.Hirehal
28,755,5289,Dhone
28,517,5102,Donakonda
28,752,5196,Doravarisatram
28,790,5100,Dornala
28,755,5299,Dornipadu
28,506,5076,Duggirala
28,745,4843,Dumbriguda
28,751,5042,Durgi
28,515,5162,Duttalur
28,504,5203,Duvvur
28,748,4955,Dwarakatirumala
28,751,5071,Edlapadu
28,748,4966,Eluru Rural
28,748,7428,Eluru Urban
28,519,4806,Etcherla
28,749,5006,Gaddamanugu Konduru
28,755,5281,Gadivemula
28,521,4825,Gajapathinagaram
28,520,4869,Gajuwaka
28,753,5235,Galiveedu
28,749,4996,Gampalagudem
28,523,4974,Ganapavaram
28,746,4904,Gandepalli
28,754,5342,Gandlapenta
28,503,5420,Gangadhara Nellore
28,503,5417,Gangavaram
28,791,4894,Gangavaram
28,519,4797,Ganguvarisigadam
28,510,5012,Gannavaram
28,521,4830,Gantyada
28,519,4801,Gara
28,521,4826,Garividi
28,502,5324,Garladinne
28,743,4811,Garugubilli
28,510,5033,Ghantasala
28,790,5133,Giddalur
28,745,4848,G.Madugula
28,505,4897,Gokavaram
28,746,4902,Gollaprolu
28,744,4853,Golugonda
28,511,5270,Gonegandla
28,502,5310,Gooty
28,520,6838,Gopalapatnam
28,505,4951,Gopalapuram
28,504,5211,Gopavaram
28,754,5362,Gorantla
28,755,5287,Gospadu
28,745,4850,Gudem Kotha Veedhi
28,754,5352,Gudibanda
28,503,5431,Gudipala
28,510,5021,Gudivada
28,510,5029,Gudlavalleru
28,517,5151,Gudluru
28,503,5426,Gudupalle
28,511,5257,Gudur
28,515,5184,Gudur
28,510,5031,Guduru
28,502,5319,Gummagatta
28,743,4808,Gummalakshmipuram
28,502,5309,Guntakal
28,506,6833,Guntur East
28,506,5074,Guntur West
28,751,5044,Gurajala
28,521,4828,Gurla
28,753,5370,Gurramkonda
28,791,7562,Gurthedu
28,511,5273,Halaharvi
28,790,5130,Hanumanthuni Padu
28,754,5364,Hindupur
28,519,4783,Hiramandalam
28,511,5272,Holagunda
28,745,4846,Hukumpeta
28,749,5009,Ibrahimpatnam
28,519,4778,Ichchapuram
28,515,5179,Indukurpet
28,750,5110,Inkollu
28,747,4931,I. Polavaram
28,751,5065,Ipuru
28,523,4979,Iragavaram
28,503,5411,Irala
28,749,4991,Jaggaiahpeta
28,746,4898,Jaggampeta
28,515,5157,Jaladanki
28,519,4792,Jalumuru
28,521,4835,Jami
28,504,5215,Jammalamadugu
28,748,4953,Jangareddigudem
28,748,4947,Jeelugu Milli
28,743,4810,Jiyyammavalasa
28,517,5111,J.Pangulur
28,755,5262,Jupadu Bunglow
28,504,5230,Kadapa
28,505,4918,Kadiam
28,754,5343,Kadiri
28,748,5016,Kaikaluru
28,746,4923,Kajuluru
28,746,4913,Kakinada (Rural)
28,746,4914,Kakinada (Urban)
28,506,5083,Kakumanu
28,753,5371,Kalakada
28,504,5207,Kalasapadu
28,748,5017,Kalidindi
28,515,5160,Kaligiri
28,753,5387,Kalikiri
28,523,4985,Kalla
28,511,5258,Kallur
28,515,5174,Kaluvoya
28,502,5321,Kalyanadurg
28,504,5224,Kamalapuram
28,748,4954,Kamavarapukota
28,502,5334,Kambadur
28,753,5372,Kambhamvaripalle
28,754,5335,Kanaganipalli
28,749,5007,Kanchikacherla
28,519,4777,Kanchili
28,517,5148,Kandukuru
28,502,5306,Kanekal
28,790,5136,Kanigiri
28,510,5023,Kankipadu
28,505,4928,Kapileswarapuram
28,750,5109,Karamchedu
28,746,4922,Karapa
28,751,5046,Karempudi
28,750,5092,Karlapalem
28,503,5408,Karvetinagar
28,744,4876,Kasimkota
28,747,4943,Katrenikona
28,515,5158,Kavali
28,519,4779,Kaviti
28,747,4929,K Gangavaram
28,504,5212,Khajipeta
28,746,4899,Kirlampudi
28,744,4860,K.Kotapadu
28,515,5169,Kodavalur
28,511,5269,Kodumur
28,752,5249,Kodur
28,510,5039,Koduru
28,755,5296,Koilakuntla
28,755,5301,Kolimigundla
28,506,5077,Kollipara
28,750,5088,Kolluru
28,743,4807,Komarada
28,790,5134,Komarolu
28,790,5119,Konakanamitla
28,517,5137,Kondapi
28,504,5199,Kondapuram
28,515,5156,Kondapuram
28,517,5122,Korisapadu
28,505,4905,Korukonda
28,511,5251,Kosigi
28,515,5191,Kota
28,519,4791,Kotabommali
28,746,4889,Kotananduru
28,744,4874,Kotauratla
28,754,5346,Kothacheruvu
28,755,5263,Kothapalle
28,517,5140,Kotha Patnam
28,747,4927,Kothapeta
28,521,4834,Kothavalasa
28,519,4772,Kothuru
28,515,5178,Kovur
28,505,4958,Kovvur
28,511,5252,Kowthalam
28,748,4952,Koyyalagudem
28,745,4851,Koyyuru
28,511,5277,Krishnagiri
28,751,5051,Krosuru
28,510,5018,Kruthivennu
28,502,5323,Kudair
28,748,4735,Kukunoor
28,752,5382,Kumara Venkata Bhupala Puram
28,791,4731,Kunavaram
28,502,5333,Kundurpi
28,503,5427,Kuppam
28,753,5389,Kurabalakota
28,517,5103,Kurichedu
28,511,5259,Kurnool Rural
28,511,7183,Kurnool Urban
28,743,4809,Kurupam
28,521,4833,Lakkavarapukota
28,753,5240,Lakkireddipalli
28,519,4804,Laveru
28,519,4787,Laxminarasupeta
28,754,5365,Lepakshi
28,504,5218,Lingala
28,748,4945,Lingapalem
28,517,5150,Lingasamudram
28,751,5048,Machavaram
28,751,5040,Macherla
28,510,7429,Machilipatnam North
28,510,5034,Machilipatnam South
28,754,5350,Madakasira
28,753,5392,Madanapalle
28,511,5292,Maddikera (East)
28,517,5127,Maddipadu
28,744,4857,Madugula
28,755,5285,Mahanandi
28,520,6837,Maharanipeta
28,744,4875,Makavarapalem
